# primitive_MRO = (<class 'qiskit.primitives.statevector_sampler.StatevectorSampler'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'rzz', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = ../data/backends/fez_2024_12_22.noise_model.pkl
# backend_path = ../data/backends/fez_2024_12_22.backend_image.pkl
# sampler_type = statevector
# i, j, expectation-value
42, 36, 0.0233
42, 37, 0.0031
42, 38, 0.1891
42, 39, 0.0815
42, 40, 0.0998
42, 41, 0.1524
42, 42, 1.0
43, 0, 0.0091
43, 1, 0.0344
43, 2, 0.0189
43, 3, 0.0254
43, 4, 0.0127
43, 5, 0.0085
43, 6, 0.0066
43, 7, 0.0035
43, 8, 0.0037
43, 9, 0.0262
43, 10, 0.0104
43, 11, 0.0077
43, 12, 0.007
43, 13, 0.0043
43, 14, 0.0036
43, 15, 0.0026
43, 16, 0.0371
43, 17, 0.0233
43, 18, 0.0169
43, 19, 0.0119
43, 20, 0.0078
43, 21, 0.0003
43, 22, 0.0005
43, 23, 0.0002
43, 24, 0.0016
43, 25, 0.0253
43, 26, 0.0142
43, 27, 0.0096
43, 28, 0.0241
43, 29, 0.022
43, 30, 0.015
43, 31, 0.0035
43, 32, 0.0077
43, 33, 0.0474
43, 34, 0.0029
43, 35, 0.0023
43, 36, 0.0091
43, 37, 0.0121
43, 38, 0.179
43, 39, 0.1247
43, 40, 0.2383
43, 41, 0.0954
43, 42, 0.038
43, 43, 1.0
44, 0, 0.0233
44, 1, 0.0183
44, 2, 0.0027
44, 3, 0.0123
44, 4, 0.0048
44, 5, 0.003
44, 6, 0.0033
44, 7, 0.0013
44, 8, 0.0012
44, 9, 0.0018
44, 10, 0.0279
44, 11, 0.0091
44, 12, 0.0067
44, 13, 0.0054
44, 14, 0.003
44, 15, 0.0016
44, 16, 0.0887
44, 17, 0.0645
44, 18, 0.0403
44, 19, 0.0324
44, 20, 0.0191
44, 21, 0.0027
44, 22, 0.0017
44, 23, 0.0007
44, 24, 0.0023
44, 25, 0.0038
44, 26, 0.0002
44, 27, 0.0
44, 28, 0.0246
44, 29, 0.0033
44, 30, 0.0036
44, 31, 0.0059
44, 32, 0.0202
44, 33, 0.1303
44, 34, 0.0007
44, 35, 0.0013
44, 36, 0.0076
44, 37, 0.0272
44, 38, 0.0142
44, 39, 0.0003
44, 40, 0.0022
44, 41, 0.0006
44, 42, 0.0878
44, 43, 0.1115
44, 44, 1.0
45, 0, 0.0172
45, 1, 0.0111
45, 2, 0.002
45, 3, 0.0052
45, 4, 0.0125
45, 5, 0.0035
45, 6, 0.0036
45, 7, 0.0028
45, 8, 0.0019
45, 9, 0.0012
45, 10, 0.0082
45, 11, 0.0248
45, 12, 0.0101
45, 13, 0.0073
45, 14, 0.004
45, 15, 0.0035
45, 16, 0.2593
45, 17, 0.0915
45, 18, 0.063
45, 19, 0.0441
45, 20, 0.0294
45, 21, 0.0182
45, 22, 0.0155
45, 23, 0.0091
45, 24, 0.0004
45, 25, 0.0049
45, 26, 0.0031
45, 27, 0.0012
45, 28, 0.0158
45, 29, 0.025
45, 30, 0.009
45, 31, 0.0052
45, 32, 0.0088
45, 33, 0.0464
45, 34, 0.0051
45, 35, 0.0082
45, 36, 0.0376
45, 37, 0.012
45, 38, 0.01
45, 39, 0.0005
45, 40, 0.0005
45, 41, 0.0008
45, 42, 0.0961
45, 43, 0.0493
45, 44, 0.354
45, 45, 1.0
46, 0, 0.0105
46, 1, 0.009
46, 2, 0.0012
46, 3, 0.0025
46, 4, 0.0035
46, 5, 0.0137
46, 6, 0.0048
46, 7, 0.0032
46, 8, 0.0023
46, 9, 0.001
46, 10, 0.0058
46, 11, 0.0106
46, 12, 0.0259
46, 13, 0.0112
46, 14, 0.0062
46, 15, 0.0044
46, 16, 0.0905
46, 17, 0.259
46, 18, 0.0958
46, 19, 0.0626
46, 20, 0.0423
46, 21, 0.0128
46, 22, 0.0074
46, 23, 0.005
46, 24, 0.0037
46, 25, 0.0026
46, 26, 0.0009
46, 27, 0.0033
46, 28, 0.0105
46, 29, 0.0099
46, 30, 0.0222
46, 31, 0.0026
46, 32, 0.0058
46, 33, 0.1585
46, 34, 0.0025
46, 35, 0.0059
46, 36, 0.018
46, 37, 0.0645
46, 38, 0.0061
46, 39, 0.0005
46, 40, 0.0002
46, 41, 0.001
46, 42, 0.035
46, 43, 0.035
46, 44, 0.2442
46, 45, 0.3545
46, 46, 1.0
47, 0, 0.0023
47, 1, 0.0054
47, 2, 0.0063
47, 3, 0.0014
47, 4, 0.0006
47, 5, 0.0039
47, 6, 0.0013
47, 7, 0.0006
47, 8, 0.0009
47, 9, 0.0221
47, 10, 0.0119
47, 11, 0.0091
47, 12, 0.0282
47, 13, 0.01
47, 14, 0.0064
47, 15, 0.0035
47, 16, 0.0263
47, 17, 0.0694
47, 18, 0.023
47, 19, 0.0188
47, 20, 0.0106
47, 21, 0.0027
47, 22, 0.002
47, 23, 0.0015
47, 24, 0.0101
47, 25, 0.0073
47, 26, 0.0004
47, 27, 0.0005
47, 28, 0.0193
47, 29, 0.005
47, 30, 0.0128
47, 31, 0.001
47, 32, 0.0047
47, 33, 0.0003
47, 34, 0.0019
47, 35, 0.0045
47, 36, 0.0126
47, 37, 0.0117
47, 38, 0.1247
47, 39, 0.0583
47, 40, 0.0648
47, 41, 0.0528
47, 42, 0.358
47, 43, 0.0219
47, 44, 0.0582
47, 45, 0.0485
47, 46, 0.0949
47, 47, 1.0
48, 0, 0.0102
48, 1, 0.0021
48, 2, 0.0076
48, 3, 0.0008
48, 4, 0.0013
48, 5, 0.0024
48, 6, 0.001
48, 7, 0.0005
48, 8, 0.0005
48, 9, 0.001
48, 10, 0.0005
48, 11, 0.0007
48, 12, 0.0016
48, 13, 0.0008
